ParName   Value   Gradient
MGparm[2]      20.4943            0
MGparm[3]      127.644            0
MGparm[4]     0.203979            0
MGparm[5]    0.0825783            0
MGparm[6]     0.127397            0
SR_parm[1]      18.7123            0
recdev1(1)   -0.0185343            0
recdev1(2)   -0.0219298            0
recdev1(3)   -0.0261826            0
recdev1(4)   -0.0314288            0
recdev1(5)    -0.037747            0
recdev1(6)   0.00435967            0
recdev1(7)    -0.160317            0
recdev1(8)     0.199791            0
recdev1(9)    -0.222847            0
recdev1(10)     0.104017            0
recdev1(11)   -0.0884374            0
recdev1(12)    0.0635672            0
recdev1(13)     0.265038            0
recdev1(14)   -0.0885277            0
recdev1(15)    -0.264019            0
recdev1(16)    -0.212884            0
recdev1(17)     0.258725            0
recdev1(18)     0.319773            0
recdev1(19)     0.143479            0
recdev1(20)     -0.16318            0
recdev1(21)     0.221125            0
recdev1(22)      0.26579            0
recdev1(23)     0.381987            0
recdev1(24)     0.523888            0
recdev1(25)    -0.243043            0
recdev1(26)     0.130037            0
recdev1(27)   0.00250771            0
recdev1(28)     0.510961            0
recdev1(29)     0.217436            0
recdev1(30)     0.167464            0
recdev1(31)    -0.154978            0
recdev1(32)      0.26161            0
recdev1(33)     0.360287            0
recdev1(34)     0.213389            0
recdev1(35)    -0.746436            0
recdev1(36)     0.457712            0
recdev1(37)    -0.648208            0
recdev1(38)     0.359848            0
recdev1(39)    -0.501355            0
recdev1(40)    -0.303189            0
recdev1(41)    -0.313435            0
recdev1(42)     0.908425            0
recdev1(43)     -1.11907            0
recdev1(44)     -0.52052            0
recdev1(45)     0.443363            0
recdev1(46)   -0.0129217            0
recdev1(47)    -0.497932            0
recdev1(48)   -0.0553968            0
recdev1(49)     0.140127            0
recdev1(50)    -0.420524            0
recdev1(51)    -0.131414            0
recdev1(52)    -0.209874            0
recdev1(53)    -0.271408            0
recdev1(54)     0.160844            0
recdev1(55)   -0.0260133            0
recdev1(56)   -0.0144286            0
recdev1(57)    -0.558981            0
recdev1(58)   -0.0564474            0
recdev1(59)     0.558174            0
recdev1(60)    -0.391109            0
recdev1(61)    -0.157445            0
recdev1(62)     0.187755            0
recdev1(63)    -0.105617            0
recdev1(64)   -0.0277867            0
recdev1(65)     0.164409            0
recdev1(66)    -0.158509            0
recdev1(67)     0.141646            0
recdev1(68)    0.0467735            0
recdev1(69)    0.0844147            0
recdev1(70)   -0.0858111            0
recdev1(71)      1.01275            0
recdev1(72)    -0.697967            0
recdev1(73)     0.655186            0
recdev1(74)   -0.0333452            0
recdev1(75)    -0.668084            0
recdev1(76)    -0.174372            0
recdev1(77)     0.230179            0
recdev1(78)    -0.331141            0
recdev1(79)    -0.502573            0
recdev1(80)   -0.0971632            0
recdev1(81)    0.0569231            0
recdev1(82)   -0.0233767            0
recdev1(83)     0.420916            0
recdev1(84)    -0.291947            0
recdev1(85)    -0.277768            0
recdev1(86)     0.759787            0
recdev1(87)     0.673992            0
recdev1(88)    0.0418079            0
recdev1(89)    -0.405976            0
recdev1(90)    -0.135437            0
recdev1(91)     0.256544            0
recdev1(92)   -0.0600103            0
recdev1(93)    -0.310942            0
recdev1(94)    0.0862151            0
recdev1(95)    -0.240047            0
recdev1(96)    -0.164067            0
recdev1(97)     0.343322            0
recdev1(98)     0.508287            0
recdev1(99)    -0.111915            0
recdev1(100)     0.279386            0
Fcast_recruitments(101)            0            0
Q_parm[1]    0.0207708            0
selparm[1]      52.7944            0
selparm[3]          5.5            0
selparm[7]      44.2092            0
selparm[9]      5.44703            0
